ID,SaaNH,n9FaHRing,naHRing,JGI5,MATS1c,n9FHRing,PEOE_VSA1,NsOH,Xch-6d,AATSC3i
CHEMBL1835519,0.0,1,4,0.021141304,-0.459604308,1,5.316788604,0,0.568041382,-0.005909804
CHEMBL4292878,0.0,0,3,0.02765625,-0.125840557,0,4.736862953999999,0,0.648625243,-0.185402111
CHEMBL4284609,0.0,0,3,0.026460114,-0.229679821,0,0.0,0,0.642204374,-0.217926824
CHEMBL2024685,0.0,0,3,0.02246732,-0.479874452,0,0.0,0,0.343013034,0.004831301
CHEMBL3260624,3.417772345,1,4,0.015510336,-0.491006097,1,10.30076712,0,0.565235256,0.108999864
CHEMBL3260568,3.4308935660000004,1,4,0.018525132,-0.486486889,1,10.30076712,0,0.580527208,0.09882288
CHEMBL3260598,3.391821224,1,4,0.017202381,-0.487836078,1,10.30076712,0,0.580527208,0.064650533
CHEMBL3260622,3.44972734,1,4,0.018031915,-0.401565787,1,19.77449303,0,0.565235256,0.102419448
CHEMBL3260569,3.458671344,1,4,0.018525132,-0.485329431,1,10.30076712,0,0.580527208,0.096248543
CHEMBL3260574,3.259192767,1,4,0.020314465,-0.649000923,1,15.03763008,0,0.580527208,0.012260678999999998
